date,ret_S1BM1,ret_S1BM2,ret_S1BM3,ret_S1BM4,ret_S1BM5,ret_S2BM1,ret_S2BM2,ret_S2BM3,ret_S2BM4,ret_S2BM5,ret_S3BM1,ret_S3BM2,ret_S3BM3,ret_S3BM4,ret_S3BM5,ret_S4BM1,ret_S4BM2,ret_S4BM3,ret_S4BM4,ret_S4BM5,ret_S5BM1,ret_S5BM2,ret_S5BM3,ret_S5BM4,ret_S5BM5
2015-01-05,-0.00521907888228345,-0.006732946666860073,0.009176110440392553,0.0042659051761423615,0.0046819984310586885,-0.00718648791333934,0.002518837667704998,0.00925933718819058,0.009360135455714583,0.014484667521729253,-0.001249475196446794,0.00598583387880675,0.010770121405124875,0.020840425791691812,0.023132052425130962,-0.001126418795779718,0.008390442027908476,0.01960902199330864,0.021456938953861124,0.032567612959222274,0.01282694974810161,0.03288745953893489,0.02428632815765811,0.04122088774737099,0.0531987715829403
2015-01-06,0.034550894369695904,0.029856330447407563,0.025775832623547067,0.021288044601126547,0.01578558599469587,0.02683908795503755,0.0283581582936858,0.02015997544786824,0.01432798981246319,0.010990452357541453,0.024845329143172473,0.024995366992149836,0.023527066868442026,0.012197507391433566,0.005440776997170096,0.028616341143900197,0.023069790697105724,0.017449214053387514,0.006661113522264167,-0.002023576350072261,0.02212158757231179,0.01292392600238449,-0.0017184858543273398,0.005279327830689019,-0.007020049918504481
2015-01-07,-0.005380482578776403,-0.005089948612627817,-0.0053158460572803,-0.0033903855470152422,-0.006281307486331916,0.0008464832616167548,-0.0006932662231126871,-0.002948269969275962,-0.001701545500459899,-0.0017169691251950575,0.0032999044444026755,0.000645784285754391,0.0007160618928421683,0.0001893623060817553,9.381831848930618e-05,-0.0013153943726215947,0.0025867920853439763,0.0004042779958835012,0.004188016593719226,3.643887873186892e-05,0.000821366783807332,0.005474240736329488,0.01551385086822047,0.005238142264798697,0.0065883589069831855
2015-01-08,0.007056666115338182,0.004420236338261436,0.001211864171764966,-0.003938791807933176,-0.0033579634478936374,0.008833798146382252,0.0061439648453172095,0.0018222243527281677,-0.003704169484092744,-0.006205440982655442,0.008398519102795885,-0.00031819867478440826,0.0016716717000485595,-0.00779084412561005,-0.013371785665361053,0.003112940034236791,-0.0037901374269004155,-0.003130167213870066,-0.010218729020337911,-0.019126405869598014,-0.0033718302217928815,-0.011844103420174494,-0.014904560583758553,-0.014667989217621122,-0.033463710769810015
2015-01-09,-0.008085232124305319,-0.0025896927649511486,-0.011010106349074202,-0.00978819726959111,-0.008793219842357132,-0.0018514128886241118,-0.007751936024360152,-0.008104247407980431,-0.004772610665949706,-0.010278398617709633,-0.0008801201534469784,-0.008064084793688002,-0.010228265594218279,-0.010077374497841081,-0.010588070967235299,0.0012298667639351211,-0.008358209421099603,-0.0071438594911592684,-0.00956209652560148,-0.01179564203018958,0.0008052390812227339,-0.011060448654320555,0.008622249591384587,-0.00566170633002587,-0.003770723239774955
2015-01-12,-0.007752746304182632,-0.01732264112354623,-0.020949783428243433,-0.023685273614699215,-0.02292501266510439,-0.014507196903413568,-0.012902637042462188,-0.014325626468983743,-0.01994524826453361,-0.02677818137888683,0.007158356202117646,-0.01064730707932654,-0.012962996644383098,-0.024137441399738047,-0.02831756333549727,0.002906330155737474,-0.007206792121827202,-0.012922752567746802,-0.016600724806492505,-0.030098470523701917,0.011483628890185602,0.002400958293033561,-0.0061996484270433975,-0.012765503876649174,-0.02488948266238963
2015-01-13,0.02276359952653287,0.027108567375935016,0.019605808698286018,0.019860417541440755,0.014515243366095993,0.019887286377452594,0.0210527427079269,0.016314475184096608,0.017412964481995148,0.014094017996851678,0.018798671569256704,0.024648741941007822,0.017014101859102168,0.011588244012458305,0.01270698886776008,0.01772983045144426,0.02385019192656462,0.01933414162294952,0.013077941056448692,0.010412097788663659,0.01868181887846959,0.008700457561695357,-0.007012753718262675,0.004625415939072174,-0.0007642642880434019
2015-01-14,-0.005155228878943882,-0.010349636836145256,-0.005316733316451073,0.0007686352921294602,-0.007939991545821128,0.0013861007378832286,-0.004563662539427872,-0.0005694802747037084,-0.001938726250491356,-0.0063618037674984685,-0.008579155343670522,-0.005625717082359403,0.0006339337045192536,-0.002599003524940007,-0.006919277404669544,0.0010837951307633912,-0.003579161701003445,-0.004026010826344466,-0.005797681237450647,-0.011007491514480989,-0.005458428635202793,-0.006337352105022819,-0.008353908141948632,-0.007349331884044478,-0.0024175434940219166
2015-01-15,0.0006957711708175187,0.00668284361802337,0.006550279985353411,0.00805871879431363,0.008147566082322175,-0.0027251570710831166,0.0016162280757525886,0.007190219491632871,0.006307800727906665,0.009506426518048889,0.0017427817094361594,0.0017954894164362196,0.00595747945388323,0.010238258835848996,0.014379544862516674,0.004688278041512633,0.0018097909111251113,0.009485332332156404,0.019120329609249573,0.019000461533018466,0.009342879347492708,0.037443223747988995,0.028643457084123643,0.03134000198810628,0.04512859827891675
2015-01-16,0.020475831944349068,0.01811332645182629,0.014455645358752222,0.009939844306834367,0.013931873440191905,0.0207151076159965,0.014844711771188103,0.010024901497603775,0.009965872934232158,0.007670166424106144,0.024252322034609888,0.014161518664044642,0.012496514359938822,0.0071529087835215735,0.006991184586013434,0.019970815205943265,0.014190639721619458,0.013625171244661104,0.011387664322352971,0.006846866649638641,0.02681877719852283,0.01627409243302723,0.011584891945369555,0.006887617000241784,0.011455458646822585
